cancer	215
diet & weight management	205
slideshow	204
slide show	202
pregnancy	195
exercise	193
symptoms	184
slideshows	173
slide shows	172
food and recipes	165
heart disease	152
pain	148
diet	148
treatment	143
women	137
skin problems & treatments	126
digestive disorders	121
depression	116
dogs	112
children	108
fitness & exercise	104
treatments	103
causes	102
diabetes	1000
weight loss	96
therapy	86
parenting	86
drug	84
food	83
pain management	82
nutrition	81
medication	79
healthy diet	78
stress	74
allergies	72
eye health	71
parenting - baby (0-12 months)	70
infection	69
exercises	69
surgery	68
oral health	66
sleep disorders	65
sleep	65
sex	62
brain & nervous system	62
fatigue	59
obesity	58
exercise therapy	56
exercise rehabilitation	56
exercise physical therapy	56
exercise therapies	56
exercises therapy	55
disease	55
exercises treatments and procedures	55
cold	55
exercises rehabilitation	55
arthritis	55
exercises (regime/therapy)	55
exercise therapy (regime/therapy)	55
therapies	54
anxiety	54
physical therapy exercises	54
rehabilitation exercise	53
mental health	53
high blood pressure	52
diarrhea	52
men	52
breast cancer	52
asthma	52
fever	51
smoking	51
weight management	51
fitness	51
therapeutic exercise	50
first aid	49
therapeutic exercise (regime/therapy)	49
health insurance & medicare	49
webmd	48
therapeutic exercises	47
rheumatoid arthritis	47
diagnosis	47
therapy exercise	47
diabetes mellitus	46
health a-z	45
newsletter overlay	45
migraines/headaches	44
health news	44
osteoarthritis	44
back pain	44
heartburn	44
dieting	43
stroke	43
recipe	43
lung disease/respiratory problems	43
insomnia	42
birth control	42
symptom	42
allergy	42
sex & relationships	42
infectious diseases	42
cold & flu	41
alcohol	40
chronic	39
eating well	39
skin	39
cats	38
vomiting	38
lupus	38
heart attack	38
prevention	38
cough	37
cholesterol	37
drugs	37
fibromyalgia	36
picture	36
headache	36
test	36
flu	36
heart	35
inflammation	35
health	34
tests	34
sexual behavior	34
infertility	34
child	34
constipation	34
menopause	34
aspirin	33
eating healthy	33
high cholesterol	33
overweight	33
std	33
erectile dysfunction	33
skin problems	33
eye	32
blood disorders	32
nausea	32
rash	32
blood	32
encounter due to first normal pregnancy supervision	31
medicine	31
learning about	31
 spirit	30
cooking	30
mind	30
healthy eating	30
chest pain	30
cholesterol management	30
 body	30
brain	30
hypertension	30
baby	30
gerd	29
diabetes mellitus type 2	10
migraine	29
antibiotics	29
caffeine	29
medications	29
swelling	29
device (physical object)	28
signs	28
device	28
dehydration	28
pregnancies	28
breathing	27
sexual conditions	27
low fat	27
hepatitis	27
food poisoning	27
sugar	27
sexually transmitted disease	26
cause	26
recipes	26
3rd trimester	26
bacteria	26
eyesight	26
omega-3 fatty acids	26
daniel denoon	26
disorder	26
webmd magazine	25
